t,x,xdot,xdot_pred
5345.0,0.9852,8e-08,2.9837880278560635e-05
5346.0,0.9852,3.1e-07,2.9837880278560635e-05
5347.0,0.9852,5.4e-07,2.9837880278560635e-05
5348.0,0.9852,6.9e-07,2.9837880278560635e-05
5349.0,0.9852,7.5e-07,2.9837880278560635e-05
5350.0,0.9852,8e-07,2.9837880278560635e-05
5351.0,0.9852,7.8e-07,2.9837880278560635e-05
5352.0,0.9852,6.9e-07,2.9837880278560635e-05
5353.0,0.9852,4.8e-07,2.9837880278560635e-05
5354.0,0.9852,4.1e-07,2.9837880278560635e-05
5355.0,0.9852,3.9e-07,2.9837880278560635e-05
5356.0,0.9852,3.7e-07,2.9837880278560635e-05
5357.0,0.9852,3.3e-07,2.9837880278560635e-05
5358.0,0.9852,2.9e-07,2.9837880278560635e-05
5359.0,0.9852,1.8e-07,2.9837880278560635e-05
5360.0,0.9852,-1e-08,2.9837880278560635e-05
5361.0,0.9852,-2.2e-07,2.9837880278560635e-05
5362.0,0.9852,-3.9e-07,2.9837880278560635e-05
5363.0,0.9852,-5.1e-07,2.9837880278560635e-05
5364.0,0.9852,-6.1e-07,2.9837880278560635e-05
5365.0,0.9852,-5e-07,2.9837880278560635e-05
5366.0,0.9852,-4.3e-07,2.9837880278560635e-05
5367.0,0.9852,-4.3e-07,2.9837880278560635e-05
5368.0,0.9852,-3.5e-07,2.9837880278560635e-05
5369.0,0.9852,-1.9e-07,2.9837880278560635e-05
5370.0,0.9852,4e-08,2.9837880278560635e-05
5371.0,0.9852,3e-08,2.9837880278560635e-05
5372.0,0.9852,1e-07,2.9837880278560635e-05
5373.0,0.9852,1.9e-07,2.9837880278560635e-05
5374.0,0.9852,2.3e-07,2.9837880278560635e-05
5375.0,0.9852,2.5e-07,2.9837880278560635e-05
5376.0,0.9852,2.9e-07,2.9837880278560635e-05
5377.0,0.9852,1e-07,2.9837880278560635e-05
5378.0,0.9852,-1e-08,2.9837880278560635e-05
5379.0,0.9852,-1.3e-07,2.9837880278560635e-05
5380.0,0.9852,-2.7e-07,2.9837880278560635e-05
5381.0,0.9852,-3.9e-07,2.9837880278560635e-05
5382.0,0.9852,-5e-07,2.9837880278560635e-05
5383.0,0.9852,-6e-07,2.9837880278560635e-05
5384.0,0.9852,-6.6e-07,2.9837880278560635e-05
5385.0,0.9852,-6.9e-07,2.9837880278560635e-05
5386.0,0.9852,-6.8e-07,2.9837880278560635e-05
5387.0,0.9852,-6.1e-07,2.9837880278560635e-05
5388.0,0.9852,-5e-07,2.9837880278560635e-05
5389.0,0.9852,-3e-07,2.9837880278560635e-05
5390.0,0.9852,-8e-08,2.9837880278560635e-05
5391.0,0.9852,1.2e-07,2.9837880278560635e-05
5392.0,0.9852,2.8e-07,2.9837880278560635e-05
5393.0,0.9852,4.2e-07,2.9837880278560635e-05
5394.0,0.9852,5.6e-07,2.9837880278560635e-05
5395.0,0.9852,5.4e-07,2.9837880278560635e-05
5396.0,0.9852,4.9e-07,2.9837880278560635e-05
5397.0,0.9852,4.4e-07,2.9837880278560635e-05
5398.0,0.9852,4.5e-07,2.9837880278560635e-05
5399.0,0.9852,3.9e-07,2.9837880278560635e-05
5400.0,0.9852,3e-07,2.9837880278560635e-05
5401.0,0.9852,2.7e-07,2.9837880278560635e-05
5402.0,0.9852,3.2e-07,2.9837880278560635e-05
5403.0,0.9852,3.9e-07,2.9837880278560635e-05
5404.0,0.9852,4.8e-07,2.9837880278560635e-05
5405.0,0.9852,5.7e-07,2.9837880278560635e-05
5406.0,0.9852,7e-07,2.9837880278560635e-05
5407.0,0.9852,7.5e-07,2.9837880278560635e-05
5408.0,0.9852,7.5e-07,2.9837880278560635e-05
5409.0,0.9852,7.6e-07,2.9837880278560635e-05
5410.0,0.9852,7.4e-07,2.9837880278560635e-05
5411.0,0.9852,6.9e-07,2.9837880278560635e-05
5412.0,0.9852,6.3e-07,2.9837880278560635e-05
5413.0,0.9852,6.6e-07,2.9837880278560635e-05
5414.0,0.9852,6.6e-07,2.9837880278560635e-05
5415.0,0.9852,6.4e-07,2.9837880278560635e-05
5416.0,0.9852,6.6e-07,2.9837880278560635e-05
5417.0,0.9852,7e-07,2.9837880278560635e-05
5418.0,0.9852,7.3e-07,2.9837880278560635e-05
5419.0,0.9852,7.7e-07,2.9837880278560635e-05
5420.0,0.9852,7.7e-07,2.9837880278560635e-05
5421.0,0.9852,7.7e-07,2.9837880278560635e-05
5422.0,0.9852,7.2e-07,2.9837880278560635e-05
5423.0,0.9852,7.3e-07,2.9837880278560635e-05
5424.0,0.9852,7.8e-07,2.9837880278560635e-05
5425.0,0.9852,7.3e-07,2.9837880278560635e-05
5426.0,0.9852,7.8e-07,2.9837880278560635e-05
5427.0,0.9852,8.3e-07,2.9837880278560635e-05
5428.0,0.9852,8.2e-07,2.9837880278560635e-05
5429.0,0.9852,7.2e-07,2.9837880278560635e-05
5430.0,0.9852,6e-07,2.9837880278560635e-05
5431.0,0.9852,5e-07,2.9837880278560635e-05
5432.0,0.9852,4.5e-07,2.9837880278560635e-05
5433.0,0.9852,4e-07,2.9837880278560635e-05
5434.0,0.9852,3.4e-07,2.9837880278560635e-05
5435.0,0.9852,2.2e-07,2.9837880278560635e-05
5436.0,0.9852,5e-08,2.9837880278560635e-05
5437.0,0.9852,1.1e-07,2.9837880278560635e-05
5438.0,0.9852,1.4e-07,2.9837880278560635e-05
5439.0,0.9852,2.2e-07,2.9837880278560635e-05
5440.0,0.9852,3e-07,2.9837880278560635e-05
5441.0,0.9852,3.1e-07,2.9837880278560635e-05
5442.0,0.9852,2.5e-07,2.9837880278560635e-05
5443.0,0.9852,4.1e-07,2.9837880278560635e-05
5444.0,0.9852,4.6e-07,2.9837880278560635e-05
5445.0,0.9852,4.7e-07,2.9837880278560635e-05
5446.0,0.9852,5.1e-07,2.9837880278560635e-05
5447.0,0.9852,4.8e-07,2.9837880278560635e-05
5448.0,0.9852,3.7e-07,2.9837880278560635e-05
5449.0,0.9852,3.7e-07,2.9837880278560635e-05
5450.0,0.9852,2.9e-07,2.9837880278560635e-05
5451.0,0.9852,1.8e-07,2.9837880278560635e-05
5452.0,0.9852,1.2e-07,2.9837880278560635e-05
5453.0,0.9852,1e-07,2.9837880278560635e-05
5454.0,0.9852,7e-08,2.9837880278560635e-05
5455.0,0.9852,-4e-08,2.9837880278560635e-05
5456.0,0.9852,-5e-08,2.9837880278560635e-05
5457.0,0.9852,-6e-08,2.9837880278560635e-05
5458.0,0.9852,-1e-07,2.9837880278560635e-05
5459.0,0.9852,-9e-08,2.9837880278560635e-05
5460.0,0.9852,-1e-08,2.9837880278560635e-05
5461.0,0.9852,4e-08,2.9837880278560635e-05
5462.0,0.9852,1.1e-07,2.9837880278560635e-05
5463.0,0.9852,2.2e-07,2.9837880278560635e-05
5464.0,0.9852,2.3e-07,2.9837880278560635e-05
5465.0,0.9852,2.2e-07,2.9837880278560635e-05
5466.0,0.9852,2e-07,2.9837880278560635e-05
5467.0,0.9852,2.1e-07,2.9837880278560635e-05
5468.0,0.9852,2.5e-07,2.9837880278560635e-05
5469.0,0.9852,2.6e-07,2.9837880278560635e-05
5470.0,0.9852,2.8e-07,2.9837880278560635e-05
5471.0,0.9852,2.7e-07,2.9837880278560635e-05
5472.0,0.9852,1.4e-07,2.9837880278560635e-05
5473.0,0.9852,1.5e-07,2.9837880278560635e-05
5474.0,0.9852,2e-08,2.9837880278560635e-05
5475.0,0.9852,-1.3e-07,2.9837880278560635e-05
5476.0,0.9852,-3.1e-07,2.9837880278560635e-05
5477.0,0.9852,-4.6e-07,2.9837880278560635e-05
5478.0,0.9852,-5.6e-07,2.9837880278560635e-05
5479.0,0.9852,-7e-07,2.9837880278560635e-05
5480.0,0.9852,-7.8e-07,2.9837880278560635e-05
5481.0,0.9852,-8.7e-07,2.9837880278560635e-05
5482.0,0.9852,-9.4e-07,2.9837880278560635e-05
5483.0,0.9852,-9.4e-07,2.9837880278560635e-05
5484.0,0.9852,-8.5e-07,2.9837880278560635e-05
5485.0,0.9852,-5.9e-07,2.9837880278560635e-05
5486.0,0.9852,-4.4e-07,2.9837880278560635e-05
5487.0,0.9852,-3.3e-07,2.9837880278560635e-05
5488.0,0.9852,-2.5e-07,2.9837880278560635e-05
5489.0,0.9852,-1.9e-07,2.9837880278560635e-05
5490.0,0.9852,-6e-08,2.9837880278560635e-05
5491.0,0.9852,-1.3e-07,2.9837880278560635e-05
5492.0,0.9852,-1e-07,2.9837880278560635e-05
5493.0,0.9852,-9e-08,2.9837880278560635e-05
5494.0,0.9852,-9e-08,2.9837880278560635e-05
5495.0,0.9852,-1e-07,2.9837880278560635e-05
5496.0,0.9852,-1.3e-07,2.9837880278560635e-05
5497.0,0.9852,-1.4e-07,2.9837880278560635e-05
5498.0,0.9852,-1.7e-07,2.9837880278560635e-05
5499.0,0.9852,-2e-07,2.9837880278560635e-05
5500.0,0.9852,-1.7e-07,2.9837880278560635e-05
5501.0,0.9852,-1.3e-07,2.9837880278560635e-05
